Grid_ID,lon,lat
0,28.009999999420284,40.809999941466145
1,28.00999999941132,40.82999994115606
2,28.009999999402364,40.84999994084554
3,28.009999999393408,40.86999994053459
4,28.009999999384444,40.88999994022321
5,28.009999999375488,40.90999993991138
6,28.00999999936652,40.929999939599156
7,28.00999999935756,40.94999993928647
8,28.009999999348597,40.969999938973366
9,28.009999999339627,40.989999938659814
10,28.009999999330667,41.00999993834585
11,28.009999999321696,41.02999993803143
12,28.00999999931273,41.04999993771662
13,28.009999999303762,41.069999937401334
14,28.00999999929479,41.089999937085615
15,28.009999999285824,41.10999993676946
16,28.009999999276854,41.12999993645288
17,28.00999999926788,41.14999993613587
18,28.00999999925891,41.169999935818424
19,28.009999999249935,41.18999993550054
20,28.00999999924096,41.20999993518221
21,28.00999999923199,41.22999993486345
22,28.00999999922301,41.24999993454425
23,28.009999999214035,41.269999934224614
24,28.009999999205057,41.28999993390455
25,28.00999999919608,41.30999993358404
26,28.0099999991871,41.3299999332631
27,28.009999999178124,41.34999993294173
28,28.009999999169143,41.3699999326199
29,28.00999999916016,41.38999993229763
30,28.009999999151177,41.40999993197493
31,28.0099999991422,41.42999993165178
32,28.009999999133214,41.44999993132819
33,28.00999999912423,41.469999931004175
34,28.009999999115248,41.48999993067972
35,28.009999999106263,41.50999993035483
36,28.0299999994088,40.809999941460255
37,28.02999999939967,40.82999994115018
38,28.029999999390533,40.84999994083963
39,28.029999999381392,40.86999994052868
40,28.029999999372258,40.88999994021731
41,28.02999999936312,40.90999993990549
42,28.02999999935398,40.929999939593245
43,28.029999999344838,40.94999993928056
44,28.029999999335697,40.96999993896745
45,28.029999999326552,40.9899999386539
46,28.02999999931741,41.00999993833994
47,28.029999999308266,41.02999993802553
48,28.02999999929912,41.04999993771068
49,28.029999999289974,41.06999993739539
50,28.02999999928083,41.08999993707968
51,28.02999999927168,41.109999936763536
52,28.02999999926253,41.12999993644696
53,28.029999999253388,41.14999993612993
54,28.029999999244232,41.16999993581249
55,28.029999999235084,41.1899999354946
56,28.029999999225932,41.209999935176285
57,28.029999999216777,41.229999934857496
58,28.029999999207625,41.249999934538316
59,28.02999999919847,41.26999993421867
60,28.029999999189315,41.289999933898606
61,28.02999999918016,41.30999993357808
62,28.029999999171007,41.32999993325714
63,28.02999999916185,41.349999932935766
64,28.02999999915269,41.36999993261393
65,28.02999999914353,41.389999932291666
66,28.029999999134372,41.40999993196897
67,28.02999999912521,41.429999931645824
68,28.02999999911605,41.449999931322246
69,28.029999999106888,41.46999993099822
70,28.029999999097726,41.489999930673754
71,28.02999999908856,41.50999993034885
72,28.049999999397325,40.80999994145426
73,28.04999999938801,40.82999994114415
74,28.0499999993787,40.849999940833634
75,28.049999999369383,40.86999994052269
76,28.049999999360068,40.88999994021129
77,28.049999999350753,40.909999939899485
78,28.049999999341434,40.92999993958723
79,28.049999999332115,40.94999993927455
80,28.049999999322797,40.969999938961436
81,28.049999999313478,40.989999938647884
82,28.049999999304156,41.0099999383339
83,28.049999999294833,41.02999993801948
84,28.04999999928551,41.049999937704634
85,28.04999999927619,41.069999937389355
86,28.049999999266863,41.08999993707363
87,28.04999999925754,41.1099999367575
88,28.049999999248218,41.12999993644091
89,28.049999999238885,41.1499999361239
90,28.04999999922956,41.16999993580644
91,28.04999999922023,41.18999993548854
92,28.049999999210904,41.209999935170224
93,28.04999999920157,41.22999993485145
94,28.04999999919224,41.24999993453225
95,28.04999999918291,41.26999993421261
96,28.04999999917358,41.289999933892524
97,28.049999999164243,41.30999993357204
98,28.04999999915491,41.329999933251074
99,28.049999999145577,41.34999993292969
100,28.04999999913624,41.369999932607854
101,28.0499999991269,41.38999993228559
102,28.049999999117567,41.409999931962886
103,28.049999999108223,41.42999993163975
104,28.049999999098887,41.449999931316164
105,28.049999999089547,41.469999930992124
106,28.04999999908021,41.48999993066768
107,28.049999999070867,41.509999930342765
108,28.069999999385846,40.80999994144814
109,28.069999999376353,40.82999994113803
110,28.069999999366864,40.8499999408275
111,28.06999999935737,40.86999994051655
112,28.06999999934788,40.88999994020515
113,28.069999999338386,40.90999993989333
114,28.069999999328893,40.92999993958108
115,28.069999999319396,40.94999993926841
116,28.0699999993099,40.96999993895529
117,28.069999999300403,40.98999993864174
118,28.069999999290904,41.00999993832775
119,28.069999999281407,41.02999993801333
120,28.069999999271904,41.04999993769849
121,28.0699999992624,41.069999937383194
122,28.0699999992529,41.08999993706748
123,28.0699999992434,41.109999936751336
124,28.069999999233897,41.12999993643475
125,28.069999999224393,41.14999993611772
126,28.069999999214886,41.16999993580026
127,28.06999999920538,41.189999935482376
128,28.069999999195872,41.20999993516404
129,28.069999999186365,41.229999934845274
130,28.069999999176854,41.24999993452605
131,28.069999999167347,41.26999993420643
132,28.069999999157837,41.28999993388634
133,28.069999999148326,41.309999933565834
134,28.069999999138815,41.329999933244885
